id;season_id;created_at;updated_at;name;full_name;first_name;last_name;position;position_id;birth_date;birth_place;nationality;height;weight;is_injured;injury_description;holdet_url;holdet_name;holdet_position;team_id;holdet_value;holdet_popularity;holdet_team;holdet_id
1144;6397;1523380902554;1523380902554;G. McAuley;Gareth McAuley;Gareth;McAuley;Defender;2;05/12/1979;Northern Ireland;Northern Ireland;191 cm;90 kg;false;;/da/premier-league-fantasy-spring-2018/players/gareth_mcauley;Gareth McAuley;Forsvar;1443;2455000;0.001;West Bromwich;gareth_mcauley
1281;6397;1523380902560;1523380902560;A. Nyom;Allan Romeo Nyom;Allan Romeo;Nyom;Defender;2;10/05/1988;France;Cameroon;188 cm;81 kg;false;;/da/premier-league-fantasy-spring-2018/players/allan_romeo_nyom;Allan-Romeo Nyom;Forsvar;1443;2894000;0.001;West Bromwich;allan_romeo_nyom
991;6397;1523380902571;1523380902571;N. Chadli;Nacer Chadli;Nacer;Chadli;Midfielder;3;02/08/1989;Belgium;Belgium;187 cm;80 kg;false;;/da/premier-league-fantasy-spring-2018/players/nacer_chadli;Nacer Chadli;Midtbane;1443;2445000;0.001;West Bromwich;nacer_chadli
1685;6397;1523380902574;1523380902574;S. Field;Sam Field;Sam;Field;Midfielder;3;08/05/1998;England;England;180 cm;65 kg;false;;/da/premier-league-fantasy-spring-2018/players/sam_field;Sam Field;Midtbane;1443;2383000;0;West Bromwich;sam_field
1162;6397;1523380902603;1523380902603;C. Yacob;Claudio Ariel Yacob;Claudio Ariel;Yacob;Midfielder;3;18/07/1987;Argentina;Argentina;181 cm;77 kg;false;;/da/premier-league-fantasy-spring-2018/players/claudio_yacob;Claudio Yacob;Midtbane;1443;1840000;0.003;West Bromwich;claudio_yacob
1680;6397;1523380902608;1523380902608;J. Leko;Jonathan Leko;Jonathan;Leko;Attacker;4;24/04/1999;Congo DR;England;182 cm;75 kg;false;;/da/premier-league-fantasy-spring-2018/players/jonathan_leko;Jonathan Leko;Midtbane;1443;2000000;0;West Bromwich;jonathan_leko
6286;6397;1523380902643;1523380902643;O. Burke;Oliver Burke;Oliver;Burke;Midfielder;3;07/04/1997;Scotland;Scotland;188 cm;74 kg;false;;/da/premier-league-fantasy-spring-2018/players/oliver_burke;Oliver Burke;Angreb;1443;1927000;0.004;West Bromwich;oliver_burke
581186;6397;1523380902663;1523380902663;R. Tulloch;Rayhaan Rahim Amari Tulloch;Rayhaan Rahim Amari;Tulloch;Midfielder;3;20/01/2001;England;England;;;false;;/da/premier-league-fantasy-spring-2018/players/rayhaan_tulloch;Rayhaan Tulloch;Angreb;1443;1945000;0.001;West Bromwich;rayhaan_tulloch
3188072;6397;1523380902669;1523380902669;N. Ferguson;Nathan Ferguson;Nathan;Ferguson;Midfielder;3;06/10/2000;England;England;;;false;;/da/premier-league-fantasy-spring-2018/players/nathan_ferguson;Nathan Ferguson;Forsvar;1443;1945000;0.002;West Bromwich;nathan_ferguson
5255;6397;1523380902674;1523380902674;R. Harper;Rekeem Harper;Rekeem;Harper;Midfielder;3;08/03/2000;England;England;;;false;;/da/premier-league-fantasy-spring-2018/players/rekeem_harper;Rekeem Harper;Midtbane;1443;1945000;0;West Bromwich;rekeem_harper
1494242;6397;1523380902678;1523380902678;K. Jameson;Kyle Jameson;Kyle;Jameson;Defender;2;11/09/1998;England;England;;;false;;/da/premier-league-fantasy-spring-2018/players/kyle_jameson;Kyle Jameson;Forsvar;1443;1960000;0;West Bromwich;kyle_jameson
293708;6397;1523380902681;1523380902681;Ali Gabr;Ali Gabr;Ali;Gabr;Defender;2;10/01/1989;Egypt;Egypt;193 cm;85 kg;false;;/da/premier-league-fantasy-spring-2018/players/ali_gabr;Ali Gabr;Forsvar;1443;2455000;0;West Bromwich;ali_gabr
5353;6397;1523380903827;1523380903827;T. Edwards;Thomas Edwards;Thomas;Edwards;Defender;2;22/01/1999;England;England;175 cm;76 kg;false;;/da/premier-league-fantasy-spring-2018/players/thomas_edwards;Thomas Edwards;Forsvar;388;1945000;0.001;Stoke;thomas_edwards
1250;6397;1523380903676;1523380903676;T. Deeney;Troy Deeney;Troy;Deeney;Attacker;4;29/06/1988;England;England;183 cm;90 kg;false;;/da/premier-league-fantasy-spring-2018/players/troy_deeney;Troy Deeney;Angreb;25;3992000;0.021;Watford;troy_deeney
118;6397;1523380903873;1523380903873;S. Ireland;Stephen  Ireland;Stephen;Ireland;Midfielder;3;22/08/1986;Republic of Ireland;Republic of Ireland;173 cm;67 kg;false;;/da/premier-league-fantasy-spring-2018/players/stephen_ireland;Stephen Ireland;Midtbane;388;1898000;0.003;Stoke;stephen_ireland
1178;6397;1523380903886;1523380903886;S. Berahino;Saido Berahino;Saido;Berahino;Attacker;4;04/08/1993;Burundi;England;180 cm;82 kg;false;;/da/premier-league-fantasy-spring-2018/players/saido_berahino;Saido Berahino;Angreb;388;2458000;0.004;Stoke;saido_berahino
2031;6397;1523380903902;1523380903902;Ramadan Sobhi;Ramadan Sobhi;Ramadan;Sobhi;Attacker;4;23/01/1997;Egypt;Egypt;183 cm;75 kg;false;;/da/premier-league-fantasy-spring-2018/players/ramadan_sobhi;Ramadan Sobhi;Angreb;388;2407000;0.002;Stoke;ramadan_sobhi
1740;6397;1523380903907;1523380903907;J. Haugaard;Jakob Haugaard;Jakob;Haugaard;Goalkeeper;1;01/05/1992;Denmark;Denmark;199 cm;87 kg;false;;/da/premier-league-fantasy-spring-2018/players/jakob_haugaard;Jakob Haugaard;Mål;388;2445000;0.018;Stoke;jakob_haugaard
96602;6397;1523380903941;1523380903941;Jesé;Jesé Rodríguez Ruiz;Jesé;Rodríguez Ruiz;Attacker;4;26/02/1993;Spain;Spain;178 cm;72 kg;false;;/da/premier-league-fantasy-spring-2018/players/jese_rodriguez;Jese Rodriguez;Angreb;388;3439000;0.002;Stoke;jese_rodriguez
1019;6397;1523380903945;1523380903945;K. Wimmer;Kevin Wimmer;Kevin;Wimmer;Defender;2;15/11/1992;Austria;Austria;187 cm;85 kg;false;;/da/premier-league-fantasy-spring-2018/players/kevin_wimmer;Kevin Wimmer;Forsvar;388;2434000;0.001;Stoke;kevin_wimmer
581241;6397;1523380903973;1523380903973;T. Campbell;Tyrese Campbell;Tyrese;Campbell;Attacker;4;28/12/1999;England;England;;;false;;/da/premier-league-fantasy-spring-2018/players/tyrese_campbell;Tyrese Campbell;Angreb;388;1966000;0;Stoke;tyrese_campbell
4311;6397;1523380903978;1523380903978;O. Shenton;Oliver Shenton;Oliver;Shenton;Midfielder;3;06/11/1997;England;England;175 cm;77 kg;false;;/da/premier-league-fantasy-spring-2018/players/oliver_burke;Oliver Burke;Angreb;388;1927000;0.004;West Bromwich;oliver_burke
1494201;6397;1523380903984;1523380903984;L. Sørensen;Lasse Sørensen;Lasse;Sørensen;Midfielder;3;21/10/1999;Denmark;Denmark;;;false;;/da/premier-league-fantasy-spring-2018/players/dale_stephens;Dale Stephens;Midtbane;388;2690000;0.001;Brighton and Hove;dale_stephens
1466;6397;1523380903995;1523380903995;K. Long;Kevin Long;Kevin;Long;Defender;2;18/08/1990;Republic of Ireland;Republic of Ireland;188 cm;83 kg;false;;/da/premier-league-fantasy-spring-2018/players/kevin_long;Kevin Long;Forsvar;132611;2095000;0.019;Burnley;kevin_long
896;6397;1523380904000;1523380904000;M. Lowton;Matthew Lowton;Matthew;Lowton;Defender;2;09/06/1989;England;England;180 cm;78 kg;false;;/da/premier-league-fantasy-spring-2018/players/matthew_lowton;Matthew Lowton;Forsvar;132611;3859000;0.009;Burnley;matthew_lowton
32387;6397;1523380904257;1523380904257;Renato Sanches;Renato Júnior Luz Sanches;Renato Júnior;Luz Sanches;Midfielder;3;18/08/1997;Portugal;Portugal;176 cm;70 kg;false;;/da/premier-league-fantasy-spring-2018/players/renato_sanches;Renato Sanches;Midtbane;503;2950000;0.004;Swansea;renato_sanches
1110;6397;1523380904478;1523380904478;D. Delaney;Damien Delaney;Damien;Delaney;Defender;2;20/07/1981;Republic of Ireland;Republic of Ireland;191 cm;89 kg;false;;/da/premier-league-fantasy-spring-2018/players/damien_delaney;Damien Delaney;Forsvar;132610;1924000;0.002;Crystal Palace;damien_delaney
1111;6397;1523380904489;1523380904489;P. Souaré;Pape  N'Diaye Souaré;Pape;N'Diaye Souaré;Defender;2;06/06/1990;Senegal;Senegal;178 cm;69 kg;false;;/da/premier-league-fantasy-spring-2018/players/pape_ndiaye_souare;Pape Ndiaye  Souare;Forsvar;132610;1945000;0.001;Crystal Palace;pape_ndiaye_souare
1386;6397;1523380904495;1523380904495;M. Sakho;Mamadou Sakho;Mamadou;Sakho;Defender;2;13/02/1990;France;France;187 cm;83 kg;false;;/da/premier-league-fantasy-spring-2018/players/mamadou_sakho;Mamadou Sakho;Forsvar;132610;3591000;0.004;Crystal Palace;mamadou_sakho
498;6397;1523380904528;1523380904528;J. McArthur;James McArthur;James;McArthur;Midfielder;3;07/10/1987;Scotland;Scotland;178 cm;75 kg;false;;/da/premier-league-fantasy-spring-2018/players/james_mcarthur;James McArthur;Midtbane;132610;3010000;0.002;Crystal Palace;james_mcarthur
5252;6397;1523380904556;1523380904556;A. Wan-Bissaka;Aaron Wan-Bissaka;Aaron;Wan-Bissaka;Midfielder;3;26/11/1997;England;England;183 cm;72 kg;false;;/da/premier-league-fantasy-spring-2018/players/aaron_wan_bissaka;Aaron Wan-Bissaka;Midtbane;132610;1947000;0.003;Crystal Palace;aaron_wan_bissaka
2846848;6397;1523380904607;1523380904607;J. Eyenga-Lokilo;Jason Eyenga-Lokilo;Jason;Eyenga-Lokilo;Midfielder;3;17/09/1998;Belgium;Congo DR;175 cm;;false;;/da/premier-league-fantasy-spring-2018/players/jason_lokilo;Jason Lokilo;Midtbane;132610;1945000;0;Crystal Palace;jason_lokilo
4592175;6397;1523380904611;1523380904611;L. Lumeka;Levi Lumeka;Levi;Lumeka;Attacker;4;05/09/1998;England;England;170 cm;;false;;/da/premier-league-fantasy-spring-2018/players/levi_lumeka;Levi Lumeka;Midtbane;132610;1945000;0;Crystal Palace;levi_lumeka
9216;6397;1523380904614;1523380904614;D. Henry;Dion Henry;Dion;Henry;Goalkeeper;1;12/09/1997;England;England;180 cm;65 kg;false;;/da/premier-league-fantasy-spring-2018/players/dion_henry;Dion Henry;Mål;132610;2445000;0.003;Crystal Palace;dion_henry
1667955;6397;1523380904632;1523380904632;N. Kirby;Nya Kirby;Nya;Kirby;Midfielder;3;31/01/2000;England;England;;;false;;/da/premier-league-fantasy-spring-2018/players/nya_kirby;Nya Kirby;Midtbane;132610;1970000;0;Crystal Palace;nya_kirby
728;6397;1523380904638;1523380904638;Diego Cavalieri;Diego Cavalieri;Diego;Cavalieri;Goalkeeper;1;01/12/1982;Brazil;Brazil;189 cm;86 kg;false;;/da/premier-league-fantasy-spring-2018/players/diego_cavalieri;Diego Cavalieri;Mål;1095;2475000;0;Crystal Palace;diego_cavalieri
1131;6397;1523380904802;1523380904802;A. McCarthy;Alex McCarthy;Alex;McCarthy;Goalkeeper;1;03/12/1989;England;England;193 cm;79 kg;false;;/da/premier-league-fantasy-spring-2018/players/alex_mccarthy;Alex McCarthy;Mål;656;3666000;0.005;Southampton;alex_mccarthy
1745;6397;1523380904831;1523380904831;J. Pied;Jérémy Pied;Jérémy;Pied;Defender;2;23/02/1989;France;France;173 cm;69 kg;false;;/da/premier-league-fantasy-spring-2018/players/jeremy_pied;Jeremy Pied;Midtbane;656;1950000;0;Southampton;jeremy_pied
1393;6397;1523380904835;1523380904835;J. Stephens;Jack Stephens;Jack;Stephens;Defender;2;27/01/1994;England;England;185 cm;75 kg;false;;/da/premier-league-fantasy-spring-2018/players/jack_stephens;Jack Stephens;Forsvar;656;2781000;0.006;Southampton;jack_stephens
1744;6397;1523380904859;1523380904859;P. Højbjerg;Pierre-Emile Højbjerg;Pierre-Emile;Højbjerg;Midfielder;3;05/08/1995;Denmark;Denmark;185 cm;84 kg;false;;/da/premier-league-fantasy-spring-2018/players/pierre_emile_hojbjerg;Pierre-Emile Højbjerg;Midtbane;656;2476000;0.026;Southampton;pierre_emile_hojbjerg
4145;6397;1523380904863;1523380904863;S. McQueen;Sam McQueen;Sam;McQueen;Defender;2;06/02/1995;England;England;180 cm;70 kg;false;;/da/premier-league-fantasy-spring-2018/players/sam_mcqueen;Sam McQueen;Midtbane;656;1950000;0;Southampton;sam_mcqueen
5206;6397;1523380904880;1523380904880;J. Sims;Joshua Sims;Joshua;Sims;Midfielder;3;28/03/1997;England;England;174 cm;67 kg;false;;/da/premier-league-fantasy-spring-2018/players/josh_sims;Josh Sims;Midtbane;656;2029000;0;Southampton;josh_sims
1155;6397;1523380904890;1523380904890;J. Ward-Prowse;James  Ward-Prowse;James;Ward-Prowse;Midfielder;3;01/11/1994;England;England;173 cm;66 kg;false;;/da/premier-league-fantasy-spring-2018/players/james_ward_prowse;James Ward-Prowse;Midtbane;656;3521000;0.017;Southampton;james_ward_prowse
581055;6397;1523380904927;1523380904927;M. Obafemi;Michael Obafemi;Michael;Obafemi;Attacker;4;06/07/2000;Republic of Ireland;Republic of Ireland;169 cm;71 kg;false;;/da/premier-league-fantasy-spring-2018/players/michael_obafemi;Michael Obafemi;Angreb;656;1972000;0;Southampton;michael_obafemi
4351;6397;1523380904939;1523380904939;J. Hesketh;Jake Hesketh;Jake;Hesketh;Midfielder;3;27/03/1996;England;England;168 cm;63 kg;false;;/da/premier-league-fantasy-spring-2018/players/jack_rose;Jack Rose;Mål;656;2950000;0;Southampton;jack_rose
2958;6397;1523380904943;1523380904943;N. Mäenpää;Niki Mäenpää;Niki;Mäenpää;Goalkeeper;1;23/01/1985;Finland;Finland;190 cm;86 kg;false;;/da/premier-league-fantasy-spring-2018/players/niki_maenpaa;Niki Mäenpää;Mål;1415;2450000;0.005;Brighton and Hove;niki_maenpaa
2927;6397;1523380904965;1523380904965;C. Goldson;Connor Goldson;Connor;Goldson;Defender;2;18/12/1992;England;England;191 cm;85 kg;false;;/da/premier-league-fantasy-spring-2018/players/connor_goldson;Connor Goldson;Forsvar;1415;1885000;0.007;Brighton and Hove;connor_goldson
6272;6397;1523380904969;1523380904969;U. Hünemeier;Uwe Hünemeier;Uwe;Hünemeier;Defender;2;09/01/1986;Germany;Germany;189 cm;85 kg;false;;/da/premier-league-fantasy-spring-2018/players/uwe_hunemeier;Uwe Hünemeier;Forsvar;1415;1950000;0.001;Brighton and Hove;uwe_hunemeier
1452;6397;1523380901848;1523380901848;M. Lanzini;Manuel Lanzini;Manuel;Lanzini;Midfielder;3;15/02/1993;Argentina;Argentina;167 cm;59 kg;false;;/da/premier-league-fantasy-spring-2018/players/manuel_lanzini;Manuel Lanzini;Midtbane;1;4217000;0.018;West Ham;manuel_lanzini
1115;6397;1523380904516;1523380904516;Y. Cabaye;Yohan Cabaye;Yohan;Cabaye;Midfielder;3;14/01/1986;France;France;174 cm;71 kg;false;;/da/premier-league-fantasy-spring-2018/players/yohan_cabaye;Yohan Cabaye;Midtbane;132610;3528000;0.003;Crystal Palace;yohan_cabaye
618;6397;1523380904976;1523380904976;L. Rosenior;Liam Rosenior;Liam;Rosenior;Defender;2;09/07/1984;England;England;178 cm;72 kg;false;;/da/premier-league-fantasy-spring-2018/players/liam_rosenior;Liam Rosenior;Forsvar;1415;1950000;0;Brighton and Hove;liam_rosenior
2940;6397;1523380905008;1523380905008;J. Skalák;Jiří Skalák;Jiří;Skalák;Midfielder;3;12/03/1992;Czech Republic;Czech Republic;177 cm;76 kg;false;;/da/premier-league-fantasy-spring-2018/players/jiri_skalak;Jiri Skalak;Midtbane;1415;1950000;0;Brighton and Hove;jiri_skalak
2941;6397;1523380905016;1523380905016;S. Baldock;Sam Baldock;Sam;Baldock;Attacker;4;15/03/1989;England;England;170 cm;67 kg;false;;/da/premier-league-fantasy-spring-2018/players/sam_baldock;Sam Baldock;Angreb;1415;2426000;0;Brighton and Hove;sam_baldock
7309;6397;1523380905031;1523380905031;J. Tilley;James Tilley;James;Tilley;Attacker;4;13/06/1998;England;England;;;false;;/da/premier-league-fantasy-spring-2018/players/james_milner;James Milner;Midtbane;1415;3897000;0.049;Liverpool;james_milner
80601;6397;1523380905052;1523380905052;A. Matějů;Aleš Matějů;Aleš;Matějů;Defender;2;03/06/1996;Czech Republic;Czech Republic;184 cm;79 kg;false;;/da/premier-league-fantasy-spring-2018/players/ales_mateju;Ales Mateju;Forsvar;1415;1950000;0;Brighton and Hove;ales_mateju
581003;6397;1523380905071;1523380905071;J. Molumby;Jayson Molumby;Jayson;Molumby;Midfielder;3;06/08/1999;Republic of Ireland;Republic of Ireland;;;false;;/da/premier-league-fantasy-spring-2018/players/jayson_molumby;Jayson Molumby;Midtbane;1415;1950000;0;Brighton and Hove;jayson_molumby
1494381;6397;1523380905081;1523380905081;A. Connolly;Aaron Anthony Connolly;Aaron Anthony;Connolly;Attacker;4;28/01/2000;Republic of Ireland;Republic of Ireland;;;false;;/da/premier-league-fantasy-spring-2018/players/aaron_lennon;Aaron Lennon;Midtbane;1415;3349000;0.01;Burnley;aaron_lennon
757;6397;1523380905084;1523380905084;T. Krul;Tim Krul;Tim;Krul;Goalkeeper;1;03/04/1988;Netherlands;Netherlands;188 cm;84 kg;false;;/da/premier-league-fantasy-spring-2018/players/tim_krul;Tim Krul;Mål;1415;2950000;0.001;Brighton and Hove;tim_krul
580999;6397;1523380905099;1523380905099;D. Hutchinson;Desmond Hutchinson;Desmond;Hutchinson;Midfielder;3;05/12/1996;Republic of Ireland;Republic of Ireland;;;false;;/da/premier-league-fantasy-spring-2018/players/jason_puncheon;Jason Puncheon;Midtbane;1415;1945000;0.001;Crystal Palace;jason_puncheon
2922;6397;1523380904982;1523380904982;Bruno Saltor;Bruno Saltor Grau;Bruno;Saltor Grau;Defender;2;01/10/1980;Spain;Spain;181 cm;76 kg;false;;/da/premier-league-fantasy-spring-2018/players/bruno_saltor;Bruno Saltor;Forsvar;78;2978000;0.001;Brighton and Hove;bruno_saltor
926;6397;1523380904992;1523380904992;A. Knockaert;Anthony Knockaert;Anthony;Knockaert;Midfielder;3;20/11/1991;France;France;172 cm;69 kg;false;;/da/premier-league-fantasy-spring-2018/players/anthony_knockaert;Anthony Knockaert;Midtbane;78;3689000;0.003;Brighton and Hove;anthony_knockaert
2423;6397;1523380904999;1523380904999;S. March;Solomon March;Solomon;March;Midfielder;3;20/07/1994;England;England;180 cm;88 kg;false;;/da/premier-league-fantasy-spring-2018/players/solomon_march;Solomon March;Midtbane;78;3053000;0.001;Brighton and Hove;solomon_march
910;6397;1523380905113;1523380905113;L. Ulloa;José Leonardo Ulloa;José Leonardo;Ulloa;Attacker;4;26/07/1986;Argentina;Argentina;188 cm;89 kg;false;;/da/premier-league-fantasy-spring-2018/players/leonardo_ulloa;Leonardo Ulloa;Angreb;1415;2555000;0.003;Brighton and Hove;leonardo_ulloa
746;6397;1523380901874;1523380901874;A. Carroll;Andy Carroll;Andy;Carroll;Attacker;4;06/01/1989;England;England;193 cm;79 kg;false;;/da/premier-league-fantasy-spring-2018/players/andy_carroll;Andy Carroll;Angreb;1;2950000;0.041;West Ham;andy_carroll
237;6397;1523380901884;1523380901884;P. Zabaleta;Pablo Javier Zabaleta Girod;Pablo Javier;Zabaleta Girod;Defender;2;16/01/1985;Argentina;Argentina;176 cm;74 kg;false;;/da/premier-league-fantasy-spring-2018/players/pablo_zabaleta;Pablo Zabaleta;Forsvar;1;3196000;0.008;West Ham;pablo_zabaleta
275;6397;1523380901892;1523380901892;J. Hart;Joe Hart;Joe;Hart;Goalkeeper;1;19/04/1987;England;England;196 cm;91 kg;false;;/da/premier-league-fantasy-spring-2018/players/joe_hart;Joe Hart;Mål;1;4104000;0.005;West Ham;joe_hart
1139;6397;1523380901898;1523380901898;M. Arnautović;Marko Arnautović;Marko;Arnautović;Attacker;4;19/04/1989;Austria;Austria;192 cm;83 kg;false;;/da/premier-league-fantasy-spring-2018/players/marko_arnautovic;Marko Arnautovic;Angreb;1;4764000;0.155;West Ham;marko_arnautovic
1078;6397;1523380902294;1523380902294;A. Robertson;Andrew Robertson;Andrew;Robertson;Defender;2;11/03/1994;Scotland;Scotland;178 cm;64 kg;false;;/da/premier-league-fantasy-spring-2018/players/andrew_robertson;Andrew Robertson;Forsvar;8;3745000;0.184;Liverpool;andrew_robertson
1743;6397;1523380902307;1523380902307;V. van Dijk;Virgil van Dijk;Virgil;van Dijk;Defender;2;08/07/1991;Netherlands;Netherlands;193 cm;92 kg;false;;/da/premier-league-fantasy-spring-2018/players/virgil_van_dijk;Virgil van Dijk;Forsvar;8;3542000;0.624;Liverpool;virgil_van_dijk
510;6397;1523380903104;1523380903104;Fàbregas;Francesc Fàbregas i Soler;Francesc;Fàbregas i Soler;Midfielder;3;04/05/1987;Spain;Spain;180 cm;77 kg;false;;/da/premier-league-fantasy-spring-2018/players/cesc_fabregas;Cesc Fabregas;Midtbane;18;5005000;0.016;Chelsea;cesc_fabregas
1331;6397;1523380903110;1523380903110;E. Hazard;Eden Hazard;Eden;Hazard;Midfielder;3;07/01/1991;Belgium;Belgium;173 cm;76 kg;false;;/da/premier-league-fantasy-spring-2018/players/eden_hazard;Eden Hazard;Midtbane;18;8371000;0.086;Chelsea;eden_hazard
733;6397;1523380904133;1523380904133;Ł. Fabiański;Łukasz Fabiański;Łukasz;Fabiański;Goalkeeper;1;18/04/1985;Poland;Poland;190 cm;83 kg;false;;/da/premier-league-fantasy-spring-2018/players/lukasz_fabianski;Lukasz Fabianski;Mål;30;4052000;0.015;Swansea;lukasz_fabianski
1190;6397;1523380904313;1523380904313;Y. Benalouane;Yohan Benalouane;Yohan;Benalouane;Defender;2;28/03/1987;France;Tunisia;185 cm;86 kg;false;;/da/premier-league-fantasy-spring-2018/players/yohan_benalouane;Yohan Benalouane;Forsvar;42;1950000;0.002;Leicester City;yohan_benalouane
1045;6397;1523380905220;1523380905220;T. Ince;Thomas Ince;Thomas;Ince;Midfielder;3;30/01/1992;England;England;178 cm;66 kg;false;;/da/premier-league-fantasy-spring-2018/players/tom_ince;Tom Ince;Angreb;251;3503000;0.002;Huddersfield;tom_ince
2923;6397;1523380904986;1523380904986;B. Kayal;Beram Kayal;Beram;Kayal;Midfielder;3;02/05/1988;Israel;Israel;178 cm;74 kg;false;;/da/premier-league-fantasy-spring-2018/players/beram_kayal;Beram Kayal;Midtbane;1415;2028000;0.003;Brighton and Hove;beram_kayal
1494380;6397;1523380905120;1523380905120;M. Sanders;Max Harrison Sanders;Max Harrison;Sanders;Midfielder;3;04/01/1999;England;England;;;false;;/da/premier-league-fantasy-spring-2018/players/massadio_haidara;Massadio Haidara;Forsvar;1415;1950000;0;Newcastle;massadio_haidara
3101;6397;1523380905145;1523380905145;T. Smith;Tom Smith;Tom;Smith;Defender;2;14/04/1992;England;England;186 cm;75 kg;false;;/da/premier-league-fantasy-spring-2018/players/thomas_george_smith;Tommy Smith;Forsvar;251;2389000;0.001;Huddersfield;thomas_george_smith
956;6397;1523380904270;1523380904270;A. King;Andy King;Andy;King;Midfielder;3;29/10/1988;England;Wales;184 cm;79 kg;false;;/da/premier-league-fantasy-spring-2018/players/andy_king;Andy King;Midtbane;30;2688000;0.002;Swansea;andy_king
581060;6397;1523380904450;1523380904450;J. Knight;Josh Knight;Josh;Knight;Defender;2;07/09/1997;England;England;185 cm;78 kg;false;;/da/premier-league-fantasy-spring-2018/players/josh_sims;Josh Sims;Midtbane;42;2029000;0;Southampton;josh_sims
1014;6397;1523380901974;1523380901974;H. Lloris;Hugo Lloris;Hugo;Lloris;Goalkeeper;1;26/12/1986;France;France;188 cm;78 kg;false;;/da/premier-league-fantasy-spring-2018/players/hugo_lloris;Hugo Lloris;Mål;6;7448000;0.016;Tottenham;hugo_lloris
977;6397;1523380901978;1523380901978;M. Vorm;Michel Vorm;Michel;Vorm;Goalkeeper;1;20/10/1983;Netherlands;Netherlands;183 cm;84 kg;false;;/da/premier-league-fantasy-spring-2018/players/michel_vorm;Michel Vorm;Mål;6;4489000;0;Tottenham;michel_vorm
340346;6397;1523380901983;1523380901983;A. Whiteman;Alfie Whiteman;Alfie;Whiteman;Goalkeeper;1;02/10/1998;England;England;189 cm;84 kg;false;;/da/premier-league-fantasy-spring-2018/players/alfie_whiteman;Alfie Whiteman;Mål;6;3450000;0;Tottenham;alfie_whiteman
